start_t,stop_t,count
40320,40321,1
40320,40321,1
40320,40321,1
40320,40321,1
40320,40321,1
40320,40321,1
40320,40323,3
40320,40323,3
40380,40381,1
40380,40381,1
40380,40381,1
40380,40381,1
40380,40381,1
40380,40381,1
40380,40381,1
40440,40441,1
40440,40443,3
40440,40443,3
40500,40501,1
40500,40502,2
41520,41521,1
41580,41581,1
41580,41581,1
41580,41581,1
41580,41581,1
41580,41581,1
41580,41582,2
41580,41583,3
41640,41641,1
41640,41641,1
41640,41641,1
41640,41641,1
41640,41641,1
41640,41641,1
41640,41641,1
41640,41641,1
41640,41643,3
41700,41701,1
41700,41701,1
41700,41701,1
41700,41703,3
41820,41821,1
43020,43021,1
43020,43021,1
43020,43021,1
43020,43021,1
43020,43025,5
43020,43025,5
43080,43081,1
43140,43141,1
43140,43141,1
43140,43141,1
43320,43321,1
43380,43381,1
43380,43381,1
43380,43381,1
43380,43381,1
43380,43381,1
43380,43381,1
43380,43382,2
43380,43382,2
43500,43501,1
43500,43501,1
44040,44041,1
44100,44101,1
44100,44101,1
44100,44101,1
44160,44161,1
44160,44161,1
44160,44162,2
44160,44162,2
44160,44163,3
44160,44164,4
44160,44166,7
44220,44221,1
44220,44222,2
44280,44281,1
44280,44281,1
44280,44282,2
44280,44283,4
44280,44283,5
44460,44461,1
44460,44461,1
44460,44461,1
44640,44641,1
44640,44641,1
44640,44641,1
44640,44642,2
44700,44701,1
44700,44701,1
44700,44701,1
45540,45541,1
45660,45661,1
45720,45721,1
45840,45841,1
46200,46201,1
46200,46203,3
46500,46501,1
47640,47641,1
