start_t,server_id,count
40320,1,357
40320,10,97
40320,12,15
40320,13,77
40320,14,8
40320,2,5
40320,3,12
40320,4,12
40320,7,310
40320,9,1
40380,1,236
40380,10,3
40380,12,88
40380,13,44
40380,14,8
40380,2,1
40380,3,7
40380,4,38
40380,7,169
40380,9,4
40440,1,263
40440,10,8
40440,12,8
40440,13,37
40440,14,5
40440,2,4
40440,3,7
40440,4,31
40440,6,6
40440,7,92
40500,1,117
40500,10,3
40500,12,9
40500,13,8
40500,2,1
40500,3,3
40500,4,19
40500,6,1
40500,7,31
40560,1,43
40560,10,1
40560,12,7
40560,13,31
40560,2,13
40560,4,8
40560,7,27
40620,1,16
40620,10,4
40620,12,4
40620,13,8
40620,14,1
40620,2,5
40620,4,18
40620,7,54
40680,1,3
40680,12,1
40680,13,2
40680,14,1
40680,2,13
40680,4,11
40680,5,1
40680,6,3
40680,7,63
40740,1,4
40740,10,3
40740,12,37
40740,13,1
40740,2,5
40740,4,14
40740,5,1
40740,7,62
40800,1,7
40800,12,14
40800,2,6
40800,4,6
40800,7,36
40860,1,1
40860,14,1
40860,4,9
40860,6,1
40860,7,15
40920,1,4
40920,12,5
40920,2,9
40920,4,13
40920,6,1
40980,1,10
40980,11,7
40980,13,4
40980,2,4
40980,4,9
41040,1,43
41040,10,1
41040,11,3
41040,13,4
41040,2,3
41040,4,1
41040,7,2
41100,1,65
41100,10,2
41100,13,27
41100,4,3
41100,6,1
41100,7,10
41160,1,41
41160,13,9
41160,2,3
41160,4,8
41160,7,22
41220,1,63
41220,12,1
41220,13,14
41220,14,2
41220,2,1
41220,4,24
41220,7,21
41280,1,33
41280,13,21
41280,14,5
41280,2,14
41280,4,10
41280,5,5
41280,7,60
41340,1,40
41340,11,1
41340,12,3
41340,13,7
41340,2,4
41340,4,38
41340,5,6
41340,7,68
41400,1,56
41400,10,4
41400,11,1
41400,13,16
41400,14,1
41400,2,12
41400,4,46
41400,5,5
41400,7,30
41460,1,38
41460,11,2
41460,12,1
41460,13,10
41460,14,7
41460,2,19
41460,4,27
41460,5,5
41460,7,88
41460,9,1
41520,1,52
41520,10,3
41520,11,5
41520,12,5
41520,13,10
41520,14,10
41520,2,6
41520,3,1
41520,4,27
41520,5,5
41520,6,3
41520,7,52
41520,9,2
41580,1,192
41580,10,9
41580,12,44
41580,13,45
41580,14,12
41580,2,2
41580,3,10
41580,4,21
41580,5,5
41580,6,6
41580,7,118
41580,9,1
41640,1,305
41640,10,1
41640,12,40
41640,13,37
41640,14,11
41640,3,11
41640,4,7
41640,6,3
41640,7,159
41640,9,17
41700,1,246
41700,10,2
41700,12,12
41700,13,69
41700,14,11
41700,3,6
41700,4,22
41700,6,3
41700,7,186
41700,9,3
41760,1,211
41760,10,9
41760,12,2
41760,13,55
41760,14,34
41760,4,19
41760,6,11
41760,7,334
41760,9,1
41820,1,337
41820,10,4
41820,12,5
41820,13,57
41820,14,18
41820,2,3
41820,3,1
41820,4,19
41820,6,17
41820,7,388
41820,9,3
41880,1,167
41880,10,1
41880,12,10
41880,13,56
41880,14,3
41880,2,2
41880,4,10
41880,6,50
41880,7,181
41880,9,9
41940,1,156
41940,10,26
41940,12,4
41940,13,26
41940,14,3
41940,2,18
41940,4,2
41940,6,46
41940,7,146
42000,1,116
42000,12,4
42000,13,28
42000,7,166
42060,1,99
42060,13,23
42060,14,3
42060,2,1
42060,7,69
42120,1,29
42120,12,8
42120,13,18
42120,2,30
42120,4,2
42120,7,60
42180,1,6
