Server 1-Logins-Killed By,54326,,,,43204 logins
Server 1-Logins-Chat,25153,,,,
Server 1-Logins-Block Place,35171,,,,
Server 1-Logins-Death,27461,,,,
Server 1-Logins-Block Break,71992,,,,
Server 1-Logins-Kicks,2151,,,,
Server 1-Logins-Crafted Items,38230,,,,
Server 2-Logins-Killed By,2998,,,,45367 logins
Server 2-Logins-Chat,8506,,,,
Server 2-Logins-Block Place,89096,,,,
Server 2-Logins-Death,6357,,,,
Server 2-Logins-Block Break,129436,,,,
Server 2-Logins-Kicks,2571,,,,
Server 2-Logins-Crafted Items,0,,,,
Server 3-Logins-Killed By,99,,983 Logins,,
Server 3-Logins-Chat,116,,,,
Server 3-Logins-Block Place,1197,,,,
Server 3-Logins-Death,186,,,,
Server 3-Logins-Block Break,2619,,,,
Server 3-Logins-Kicks,63,,,,
Server 3-Logins-Crafted Items,1111,,,,
Server 4-Logins-Killed By,6402,,12471 logins,,
Server 4-Logins-Chat,2150,,,,
Server 4-Logins-Block Place,15613,,,,
Server 4-Logins-Death,7805,,,,
Server 4-Logins-Block Break,29328,,,,
Server 4-Logins-Kicks,1282,,,,
Server 4-Logins-Crafted Items,0,,,,
Server 5-Logins-Killed By,1652,,11329 logins,,
Server 5-Logins-Chat,637,,,,
Server 5-Logins-Block Place,15416,,,,
Server 5-Logins-Death,2440,,,,
Server 5-Logins-Block Break,30070,,,,
Server 5-Logins-Kicks,350,,,,
Server 5-Logins-Crafted Items,0,,,,
Server 6-Logins-Killed By,1960,,10605,,
Server 6-Logins-Chat,1789,,,,
Server 6-Logins-Block Place,20017,,,,
Server 6-Logins-Death,2619,,,,
Server 6-Logins-Block Break,37759,,,,
Server 6-Logins-Kicks,315,,,,
Server 6-Logins-Crafted Items,13434,,,,
Server 7-Logins-Killed By,,,,,
Server 7-Logins-Chat,,,,,
Server 7-Logins-Block Place,,,,,
Server 7-Logins-Death,,,,,
Server 7-Logins-Block Break,,,,,
Server 7-Logins-Kicks,,,,,
Server 7-Logins-Crafted Items,,,,,
Server 8-Logins-Killed By,,,,,
Server 8-Logins-Chat,,,,,
Server 8-Logins-Block Place,,,,,
Server 8-Logins-Death,,,,,
Server 8-Logins-Block Break,,,,,
Server 8-Logins-Kicks,,,,,
Server 8-Logins-Crafted Items,,,,,
Server 9-Logins-Killed By,,,,,
Server 9-Logins-Chat,,,,,
Server 9-Logins-Block Place,,,,,
Server 9-Logins-Death,,,,,
Server 9-Logins-Block Break,,,,,
Server 9-Logins-Kicks,,,,,
Server 9-Logins-Crafted Items,,,,,
Server 10-Logins-Killed By,,,,,
Server 10-Logins-Chat,,,,,
Server 10-Logins-Block Place,,,,,
Server 10-Logins-Death,,,,,
Server 10-Logins-Block Break,,,,,
Server 10-Logins-Kicks,,,,,
Server 10-Logins-Crafted Items,,,,,
Server 11-Logins-Killed By,,,,,
Server 11-Logins-Chat,,,,,
Server 11-Logins-Block Place,,,,,
Server 11-Logins-Death,,,,,
Server 11-Logins-Block Break,,,,,
Server 11-Logins-Kicks,,,,,
Server 11-Logins-Crafted Items,,,,,
Server 12-Logins-Killed By,,,,,
Server 12-Logins-Chat,,,,,
Server 12-Logins-Block Place,,,,,
Server 12-Logins-Death,,,,,
Server 12-Logins-Block Break,,,,,
Server 12-Logins-Kicks,,,,,
Server 12-Logins-Crafted Items,,,,,
Server 13-Logins-Killed By,,,,,
Server 13-Logins-Chat,,,,,
Server 13-Logins-Block Place,,,,,
Server 13-Logins-Death,,,,,
Server 13-Logins-Block Break,,,,,
Server 13-Logins-Kicks,,,,,
Server 13-Logins-Crafted Items,,,,,
Server 14-Logins-Killed By,,,,,
Server 14-Logins-Chat,,,,,
Server 14-Logins-Block Place,,,,,
Server 14-Logins-Death,,,,,
Server 14-Logins-Block Break,,,,,
Server 14-Logins-Kicks,,,,,
Server 14-Logins-Crafted Items,,,,,
